triplet_id	ac_id	A	C	D	pdb_assembly	positive_source	verified_bridge_same_assembly
SCF:0000123	AC:000116	A0A125YU99	A0A125YS93	A0A125YTU2	9g9t-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000124	AC:000118	A0A2K1IAD0	A0A2K1IB10	A9RT62	6l35-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000125	AC:000118	A0A2K1IB10	A0A2K1IAD0	A0A2K1K0C7	6l35-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000126	AC:000119	P25515	P38784	P22203	8eas-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000127	AC:000120	P68135	P02602	P14649	5h53-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000128	AC:000120	P68135	P02602	P0DP26	5h53-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000129	AC:000120	P68135	P02602	P68246	5h53-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000130	AC:000121	Q9VLI9	Q9VUZ1	Q9VA95	7b6d-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000131	AC:000122	P01116	Q13617	P07900	8qu8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000132	AC:000123	Q96SY0	Q9NV88	Q9NVM9	8rc4-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000133	AC:000123	Q96SY0	Q9NV88	Q9NVR2	8rc4-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000134	AC:000124	Q9NVM9	Q9NVR2	Q9NV88	8rc4-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000135	AC:000124	Q9NVR2	Q9NVM9	Q9NV88	8rc4-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000136	AC:000124	Q9NVR2	Q9NVM9	Q5TA45	8rc4-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000137	AC:000125	A0A1S3XP85	A0A1S4BFK7	A0A1S4CE74	8wa1-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000138	AC:000125	A0A1S4BFK7	A0A1S3XP85	A0A1S3YEW3	8wa1-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000139	AC:000126	A0A4V8GZZ6	A0A4V8GZZ7	A0A4V8GZZ9	6igz-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000140	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H000	6igz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000141	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H001	6igz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000142	AC:000126	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8GZZ9	6igz-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000143	AC:000127	Q3B726	O15446	Q9GZS1	7oba-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000144	AC:000129	P07305	P62805	P04908	9ipu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000145	AC:000129	P62805	P07305	P10412	9ipu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000146	AC:000129	P62805	P07305	A0A1B8Y854	9ipu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000147	AC:000129	P62805	P07305	P33778	9ipu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000148	AC:000132	P20436	P32910	P29055	6tut-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000149	AC:000132	P20436	P32910	P46669	6tut-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000150	AC:000132	P20436	P32910	P07703	6tut-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000151	AC:000133	A0T0V1	B8CEQ3	B8C770	8zet-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000152	AC:000133	A0T0V1	B8CEQ3	B8C2K6	8zet-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000153	AC:000133	B8CEQ3	A0T0V1	A0T0S1	8zet-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000154	AC:000135	Q9NQP4	Q99832	P50991	6nrd-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000155	AC:000136	P39933	Q12308	P32367	8ffz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000156	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TT36	7a4p-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000157	AC:000138	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TZ50	7a4p-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000158	AC:000139	D5MAL3	Q32904	Q41038	6zxs-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000159	AC:000140	P56768	Q949Q5	Q9SUI6	8j6z-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000160	AC:000140	P56768	Q949Q5	Q9SUI7	8j6z-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000161	AC:000142	P12356	Q75VY9	Q05093	7bgi-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000162	AC:000142	P12356	Q75VY9	Q7DM26	7bgi-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000163	AC:000142	Q75VY9	P12356	Q75VY8	7bgi-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000164	AC:000143	E1C9K6	E1C9K9	A0A0M3KL10	4rku-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000165	AC:000144	Q12330	Q08920	Q07930	6n7p-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000166	AC:000144	Q12330	Q08920	P40018	6n7p-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000167	AC:000144	Q12330	Q08920	P53277	6n7p-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000168	AC:000145	E9NPW6	I0YPL4	I0YQ46	9kqp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000169	AC:000146	A0A063XCP1	A0A063X781	A0A063X754	9p4i-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000170	AC:000146	A0A063XCP1	A0A063X781	A0A063XCH0	9p4i-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000171	AC:000148	Q00403	O15514	P61218	5iyc-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000172	AC:000148	Q00403	O15514	A0A4X1VEK9	5iyc-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000173	AC:000148	Q00403	O15514	Q15543	5iyc-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000174	AC:000150	P0A431	P59087	Q8DIN9	5h2f-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000175	AC:000150	P0A431	P59087	Q8DJZ6	5h2f-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000176	AC:000153	Q01667	Q8LCQ4	Q9C639	7wfd-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000177	AC:000153	Q01667	Q8LCQ4	Q9SQL2	7wfd-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000178	AC:000153	Q01667	Q8LCQ4	P27521	7wfd-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000179	AC:000153	Q8LCQ4	Q01667	P27521	7wfd-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000180	AC:000153	Q8LCQ4	Q01667	Q9SY97	7wfd-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000181	AC:000153	Q8LCQ4	Q01667	Q94AQ8	7wfd-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000182	AC:000156	P59768	Q9GZQ6	P41145	9vi9-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000183	AC:000156	P59768	Q9GZQ6	Q9UPC5	9vi9-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000184	AC:000158	P0A7W7	P69222	P0A7T7	9ss2-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000185	AC:000158	P0A7W7	P69222	P0A7R5	9ss2-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000186	AC:000161	Q9Y7N2	Q9P6Q0	P87310	5n9j-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000187	AC:000162	F2R0J7	F2QT90	F2QVA2	8ucj-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000188	AC:000163	A0A125YN38	S7W9J5	S7W617	9i4x-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000189	AC:000163	S7W9J5	A0A125YN38	S7W617	9i4x-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000190	AC:000164	Q9XYU1	Q9VBI1	Q9VQY9	6raz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000191	AC:000164	Q9XYU1	Q9VBI1	Q9W2V7	6raz-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000192	AC:000165	Q15370	P49427	Q712K3	8rx0-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000193	AC:000165	Q15370	P49427	Q13084	8rx0-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000194	AC:000166	A0A2K1IAD0	A0A2K1JC42	A0A2K1JDE1	6l35-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000195	AC:000167	P38550	A0A1S3ZSI0	A0A1S3YXM6	8wa1-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000196	AC:000167	P38550	A0A1S3ZSI0	A0AA96C3P8	8wa1-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000197	AC:000168	C3SYP2	W8T6F0	C3SRY2	9sx2-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000198	AC:000170	Q2EN79	P24964	A0A286SF60	8iog-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000199	AC:000171	Q1HFW0	Q1HFX0	W7XJB1	8bx8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000200	AC:000171	Q1HFW0	Q1HFX0	Q1HFV9	8bx8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000201	AC:000171	Q1HFX0	Q1HFW0	Q1HFW2	8bx8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000202	AC:000171	Q1HFX0	Q1HFW0	Q1HFV9	8bx8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000203	AC:000171	Q1HFX0	Q1HFW0	W7XJB1	8bx8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000204	AC:000174	P07471	P07470	P00429	5zco-assembly2.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000205	AC:000174	P07471	P07470	P13183	5zco-assembly2.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000206	AC:000176	Q1HFW0	Q1HFW2	W7XJB1	7k5b-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000207	AC:000176	Q1HFW0	Q1HFW2	Q1HFV9	7k5b-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000208	AC:000176	Q1HFW2	Q1HFW0	Q1HFV9	7k5b-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000209	AC:000177	P59768	Q96RJ0	P28223	8w89-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000210	AC:000177	P59768	Q96RJ0	P21728	8w89-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000211	AC:000177	P59768	Q96RJ0	P30872	8w89-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000212	AC:000178	P59768	P35346	P30872	8x8l-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000213	AC:000178	P59768	P35346	P30874	8x8l-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000214	AC:000178	P59768	P35346	P41143	8x8l-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000215	AC:000179	P19947	O31742	P42924	9bsl-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000216	AC:000180	Q8DJD9	Q8DKF5	Q8DMR6	6tjv-assembly1.cif.gz	PDB_exact_pair_aggregate	False
