directed_pair_id,score
A0A3G1AUL2|A0A482JYH1:forward,0.989952
A0A3G1AUL2|A0A482JYH1:reverse,0.998793
A0A3G1AZK6|A0A482JYH1:forward,0.999544
A0A3G1AZK6|A0A482JYH1:reverse,0.999774
A0A3Q7FNQ5|A0A3Q7G7F0:forward,0.999939
A0A3Q7FNQ5|A0A3Q7G7F0:reverse,0.999946
A0A3Q7G7F0|A0A3Q7HSH1:forward,0.999948
A0A3Q7G7F0|A0A3Q7HSH1:reverse,0.999945
A0A4V8GZZ2|A0A4V8H004:forward,0.998309
A0A4V8GZZ2|A0A4V8H004:reverse,0.999698
A0A4V8GZZ4|A0A4V8GZZ8:forward,0.999772
A0A4V8GZZ4|A0A4V8GZZ8:reverse,0.999773
A0A4V8GZZ4|A0A4V8H001:forward,0.999738
A0A4V8GZZ4|A0A4V8H001:reverse,0.999528
A0A4V8H003|A0A4V8H004:forward,0.999553
A0A4V8H003|A0A4V8H004:reverse,0.999784
A0A4X1SN37|A0A4X1TFI3:forward,0.999805
A0A4X1SN37|A0A4X1TFI3:reverse,0.999711
A0A4X1VEK9|A0A8W4F9W9:forward,0.999913
A0A4X1VEK9|A0A8W4F9W9:reverse,0.999936
A0A583ZBW8|P43632:forward,0.024900
A0A583ZBW8|P43632:reverse,0.092970
A0A5C2G4I7|A0A5C2GTV1:forward,0.999793
A0A5C2G4I7|A0A5C2GTV1:reverse,0.999764
A0A5C2G4I7|A0A5C2GVU3:forward,0.999833
A0A5C2G4I7|A0A5C2GVU3:reverse,0.999622
A0A5C2GTV1|A0A5C2GVU3:forward,0.999836
A0A5C2GTV1|A0A5C2GVU3:reverse,0.999615
A0A5C6J4N7|A0A5M5QTL0:forward,0.987291
A0A5C6J4N7|A0A5M5QTL0:reverse,0.997422
A0A5C6J4N7|A0A9X9IKM4:forward,0.813256
A0A5C6J4N7|A0A9X9IKM4:reverse,0.996765
A0A5S8WF79|A0A5S8WF81:forward,0.712016
A0A5S8WF79|A0A5S8WF81:reverse,0.994284
A0A5S8WF79|A0A5S8WF90:forward,0.977462
A0A5S8WF79|A0A5S8WF90:reverse,0.995414
A0A5S8WF89|A0A5S8WF90:forward,0.955774
A0A5S8WF89|A0A5S8WF90:reverse,0.994748
A0A5S8WF89|A0A5S8WF91:forward,0.559568
A0A5S8WF89|A0A5S8WF91:reverse,0.992392
A0A6P5C4T4|P62877:forward,0.999918
A0A6P5C4T4|P62877:reverse,0.999928
A0A8D1AQR7|A0A8W4F9W9:forward,0.999948
A0A8D1AQR7|A0A8W4F9W9:reverse,0.999941
A0A8D2A9I1|Q06AT4:forward,0.993704
A0A8D2A9I1|Q06AT4:reverse,0.999310
A0A8D2A9I1|Q06AT5:forward,0.999700
A0A8D2A9I1|Q06AT5:reverse,0.997263
A0A8J1KWU4|Q9I9A7:forward,0.996597
A0A8J1KWU4|Q9I9A7:reverse,0.996855
A0ACD6B9L6|A0ACD6B9N1:forward,0.997388
A0ACD6B9L6|A0ACD6B9N1:reverse,0.206974
A0ACD6B9M4|A0ACD6B9N1:forward,0.997347
A0ACD6B9M4|A0ACD6B9N1:reverse,0.618159
A0QSD7|A0QSG2:forward,0.999884
A0QSD7|A0QSG2:reverse,0.999940
A0QSD7|A0R550:forward,0.999802
A0QSD7|A0R550:reverse,0.999931
A0QSG2|A0QVB8:forward,0.999868
A0QSG2|A0QVB8:reverse,0.999563
A0QVB8|A0R550:forward,0.999436
A0QVB8|A0R550:reverse,0.999826
A0T0M8|B8C770:forward,0.999447
A0T0M8|B8C770:reverse,0.998347
A0T0M9|B8C770:forward,0.997390
A0T0M9|B8C770:reverse,0.999013
A0T0V0|B5YM25:forward,0.997364
A0T0V0|B5YM25:reverse,0.997871
A0T0V0|B8BYV4:forward,0.991607
A0T0V0|B8BYV4:reverse,0.995163
A1B3D7|A1B4F2:forward,0.999786
A1B3D7|A1B4F2:reverse,0.999539
A1B4F2|A1B4F3:forward,0.999683
A1B4F2|A1B4F3:reverse,0.999295
A1Z8I0|Q8IRE3:forward,0.992143
A1Z8I0|Q8IRE3:reverse,0.991346
A2AGH6|P24863:forward,0.999057
A2AGH6|P24863:reverse,0.999190
A2APX8|P14873:forward,0.000936
A2APX8|P14873:reverse,0.000121
A2P1G9|P01865:forward,0.998746
A2P1G9|P01865:reverse,0.999573
A2P1G9|U5LP42:forward,0.999756
A2P1G9|U5LP42:reverse,0.999866
A4VE64|Q24CE5:forward,0.999845
A4VE64|Q24CE5:reverse,0.999917
A5YKK6|P22893:forward,0.207976
A5YKK6|P22893:reverse,0.005740
A5YKK6|P26651:forward,0.056741
A5YKK6|P26651:reverse,0.004224
A6QRA1|O81097:forward,0.999936
A6QRA1|O81097:reverse,0.999942
A6QRA1|Q9FJ98:forward,0.999876
A6QRA1|Q9FJ98:reverse,0.999869
A7MB62|Q1JP79:forward,0.991867
A7MB62|Q1JP79:reverse,0.997381
A7U8D2|P04049:forward,0.998263
A7U8D2|P04049:reverse,0.998657
A8IH07|A8IL21:forward,0.990770
A8IH07|A8IL21:reverse,0.999526
A8IH07|A8IXD6:forward,0.999561
A8IH07|A8IXD6:reverse,0.999557
A8IJY7|A8INX1:forward,0.269701
A8IJY7|A8INX1:reverse,0.486279
A8IJY7|A8J353:forward,0.000250
A8IJY7|A8J353:reverse,0.001174
A8IL32|A8ITV3:forward,0.998241
A8IL32|A8ITV3:reverse,0.998381
A8IL32|Q75VY6:forward,0.994262
A8IL32|Q75VY6:reverse,0.987445
A8IL32|Q84Y02:forward,0.996984
A8IL32|Q84Y02:reverse,0.998438
A8INX1|A8J3C3:forward,0.334353
A8INX1|A8J3C3:reverse,0.198231
A8IY95|Q39584:forward,0.010972
A8IY95|Q39584:reverse,0.003311
A8IY95|Q7Y0H2:forward,0.001842
A8IY95|Q7Y0H2:reverse,0.004433
A8J353|A8J3C3:forward,0.000191
A8J353|A8J3C3:reverse,0.000133
A8J6N0|Q9AU02:forward,0.078911
A8J6N0|Q9AU02:reverse,0.023030
A9WEV4|A9WEV6:forward,0.446904
A9WEV4|A9WEV6:reverse,0.329192
A9WEV6|A9WEV7:forward,0.199621
A9WEV6|A9WEV7:reverse,0.463468
B3H6Z4|O80634:forward,0.001742
B3H6Z4|O80634:reverse,0.000133
B3H6Z4|Q9SGH4:forward,0.001975
B3H6Z4|Q9SGH4:reverse,0.000098
B6TR16|O65101:forward,0.997542
B6TR16|O65101:reverse,0.998750
B6U534|O65101:forward,0.998931
B6U534|O65101:reverse,0.999232
B7FRW2|P10793:forward,0.986962
B7FRW2|P10793:reverse,0.867855
B7U179|Q9M1S9:forward,0.005541
B7U179|Q9M1S9:reverse,0.004826
B7U179|Q9SJW9:forward,0.021989
B7U179|Q9SJW9:reverse,0.007985
B8BRQ8|B8BUW3:forward,0.016726
B8BRQ8|B8BUW3:reverse,0.023799
B8BRQ8|B8C770:forward,0.999608
B8BRQ8|B8C770:reverse,0.999766
B8BUW3|B8LEV1:forward,0.000271
B8BUW3|B8LEV1:reverse,0.000382
B8CEQ3|B8LEV1:forward,0.346867
B8CEQ3|B8LEV1:reverse,0.943394
C3SR12|C3SR52:forward,0.999927
C3SR12|C3SR52:reverse,0.999929
C3SR52|P0ADY7:forward,0.999944
C3SR52|P0ADY7:reverse,0.999920
D0C9P6|D0CD06:forward,0.999840
D0C9P6|D0CD06:reverse,0.999752
D0CD01|D0CD19:forward,0.999847
D0CD01|D0CD19:reverse,0.999914
D0CD01|D0CG36:forward,0.999329
D0CD01|D0CG36:reverse,0.999732
D0CD06|D0CD14:forward,0.999945
D0CD06|D0CD14:reverse,0.999926
D0UZS0|Q86V81:forward,0.000242
D0UZS0|Q86V81:reverse,0.000270
D2IYK1|P43628:forward,0.168438
D2IYK1|P43628:reverse,0.697625
D3ZYG0|P43403:forward,0.214321
D3ZYG0|P43403:reverse,0.003126
D3ZYG0|Q13094:forward,0.791534
D3ZYG0|Q13094:reverse,0.968476
E1C9K6|Q9S7N7:forward,0.000159
E1C9K6|Q9S7N7:reverse,0.011340
E1C9L0|P17227:forward,0.954203
E1C9L0|P17227:reverse,0.986215
E1C9L0|Q32904:forward,0.507797
E1C9L0|Q32904:reverse,0.999710
E1C9L0|Q41038:forward,0.114960
E1C9L0|Q41038:reverse,0.999341
E1C9L1|E1C9L2:forward,0.971969
E1C9L1|E1C9L2:reverse,0.994007
E1C9L1|Q32904:forward,0.787941
E1C9L1|Q32904:reverse,0.995354
E1C9L2|Q41038:forward,0.999243
E1C9L2|Q41038:reverse,0.999701
E3UIU0|E3UIU9:forward,0.997617
E3UIU0|E3UIU9:reverse,0.995495
E3UIU0|M2XR49:forward,0.984456
E3UIU0|M2XR49:reverse,0.998494
E3UIU0|M2Y652:forward,0.992603
E3UIU0|M2Y652:reverse,0.998031
E3UIU1|E3UIU9:forward,0.994526
E3UIU1|E3UIU9:reverse,0.998243
E9NPW6|I0YQ46:forward,0.998086
E9NPW6|I0YQ46:reverse,0.999763
E9NPW6|I0Z7A6:forward,0.142261
E9NPW6|I0Z7A6:reverse,0.291299
E9NPX1|I0YQ45:forward,0.994414
E9NPX1|I0YQ45:reverse,0.999275
E9NPX1|I0YQ46:forward,0.996799
E9NPX1|I0YQ46:reverse,0.999716
E9NPX1|I0Z687:forward,0.735548
E9NPX1|I0Z687:reverse,0.802203
E9NPX1|I0Z7A6:forward,0.146805
E9NPX1|I0Z7A6:reverse,0.942817
F1M951|P12931:forward,0.112746
F1M951|P12931:reverse,0.998589
F1M9D6|P40763:forward,0.999939
F1M9D6|P40763:reverse,0.999935
F1M9D6|P52630:forward,0.999936
F1M9D6|P52630:reverse,0.999933
F1MSX6|P42768:forward,0.064117
F1MSX6|P42768:reverse,0.997734
F1MSX6|Q99104:forward,0.171703
F1MSX6|Q99104:reverse,0.791265
F1N4X0|Q0IIM2:forward,0.921709
F1N4X0|Q0IIM2:reverse,0.903345
F2CW18|F2DAN8:forward,0.999936
F2CW18|F2DAN8:reverse,0.999930
F2D0D5|F2DAN8:forward,0.999878
F2D0D5|F2DAN8:reverse,0.999902
F2DAN8|P36886:forward,0.997866
F2DAN8|P36886:reverse,0.998198
F2Z4C9|Q32P73:forward,0.999943
F2Z4C9|Q32P73:reverse,0.999940
F2Z5G5|Q9BTE1:forward,0.995727
F2Z5G5|Q9BTE1:reverse,0.879268
F8VQ72|Q12933:forward,0.610611
F8VQ72|Q12933:reverse,0.844585
G0RZG4|G0SC21:forward,0.999693
G0RZG4|G0SC21:reverse,0.999504
G0RZG4|G0SCD1:forward,0.999611
G0RZG4|G0SCD1:reverse,0.999570
G0RZX8|P0CT46:forward,0.999599
G0RZX8|P0CT46:reverse,0.999709
G0S1P1|G0SC21:forward,0.999596
G0S1P1|G0SC21:reverse,0.999248
G0S1P1|G0SE33:forward,0.999405
G0S1P1|G0SE33:reverse,0.998537
G0S3J8|G0SH09:forward,0.999921
G0S3J8|G0SH09:reverse,0.999900
G0S755|G0SC21:forward,0.999797
G0S755|G0SC21:reverse,0.999548
G0S755|G0SE33:forward,0.999795
G0S755|G0SE33:reverse,0.999547
G0S8E0|G0SH09:forward,0.999726
G0S8E0|G0SH09:reverse,0.999826
G0S9A0|G0SC21:forward,0.999872
G0S9A0|G0SC21:reverse,0.999673
G0S9A0|G0SCD1:forward,0.999454
G0S9A0|G0SCD1:reverse,0.999025
G0S9A0|P0CT46:forward,0.999619
G0S9A0|P0CT46:reverse,0.999555
G0SC21|G0SE33:forward,0.999778
G0SC21|G0SE33:reverse,0.999650
G0SCD1|G0SE33:forward,0.999462
G0SCD1|G0SE33:reverse,0.999351
G0YP42|P01857:forward,0.984263
G0YP42|P01857:reverse,0.999063
G3MXC8|P61157:forward,0.997986
G3MXC8|P61157:reverse,0.998244
G3V8S2|P04626:forward,0.007249
G3V8S2|P04626:reverse,0.002253
G3V9R2|Q06124:forward,0.856817
G3V9R2|Q06124:reverse,0.003652
G5E899|P04004:forward,0.999804
G5E899|P04004:reverse,0.999783
I0YPL4|I0Z2Y0:forward,0.999904
I0YPL4|I0Z2Y0:reverse,0.999916
I0YPL4|I0Z7A6:forward,0.999887
I0YPL4|I0Z7A6:reverse,0.999899
I0YQ44|I0YQ45:forward,0.999929
I0YQ44|I0YQ45:reverse,0.999924
I0YQ44|I0YQ46:forward,0.999939
I0YQ44|I0YQ46:reverse,0.999935
I0YQ44|I0Z687:forward,0.998138
I0YQ44|I0Z687:reverse,0.997507
I0YQ45|I0YQ46:forward,0.999925
I0YQ45|I0YQ46:reverse,0.999933
I0YQ45|I0Z687:forward,0.977851
I0YQ45|I0Z687:reverse,0.997156
I0YQ46|I0Z687:forward,0.989466
I0YQ46|I0Z687:reverse,0.999535
I7M8B9|Q22VV9:forward,0.234644
I7M8B9|Q22VV9:reverse,0.567857
I7M8B9|Q22XT1:forward,0.101584
I7M8B9|Q22XT1:reverse,0.014707
I7MCM8|Q22R86:forward,0.996172
I7MCM8|Q22R86:reverse,0.998757
K4G2D7|P51572:forward,0.463899
K4G2D7|P51572:reverse,0.999101
K9N7C7|P51114:forward,0.042867
K9N7C7|P51114:reverse,0.001686
O00170|P07900:forward,0.999741
O00170|P07900:reverse,0.997131
O00170|P08238:forward,0.999570
O00170|P08238:reverse,0.998601
O00170|P17612:forward,0.001405
O00170|P17612:reverse,0.143488
O00170|P49761:forward,0.016868
O00170|P49761:reverse,0.332687
O00187|P11226:forward,0.348312
O00187|P11226:reverse,0.012242
O00206|O60603:forward,0.999488
O00206|O60603:reverse,0.999313
O00206|P02751:forward,0.802549
O00206|P02751:reverse,0.974441
O00206|P24821:forward,0.001436
O00206|P24821:reverse,0.001297
O00220|P50591:forward,0.999819
O00220|P50591:reverse,0.999624
O00241|Q08722:forward,0.999113
O00241|Q08722:reverse,0.999679
O00255|Q03164:forward,0.997597
O00255|Q03164:reverse,0.998330
O00255|Q9UMN6:forward,0.997752
O00255|Q9UMN6:reverse,0.994214
O00308|Q96B67:forward,0.999321
O00308|Q96B67:reverse,0.999630
O00401|P60953:forward,0.999836
O00401|P60953:reverse,0.999288
O00401|Q5T0N5:forward,0.991994
O00401|Q5T0N5:reverse,0.997429
O00401|Q8CFN2:forward,0.999836
O00401|Q8CFN2:reverse,0.999288
O00401|Q8R511:forward,0.792183
O00401|Q8R511:reverse,0.975512
O00459|P09619:forward,0.000650
O00459|P09619:reverse,0.001056
O00459|P10721:forward,0.000167
O00459|P10721:reverse,0.000782
O00459|P42338:forward,0.009468
O00459|P42338:reverse,0.078007
O00459|P60484:forward,0.999818
O00459|P60484:reverse,0.998936
O00459|Q8IZP0:forward,0.997370
O00459|Q8IZP0:reverse,0.985220
O00459|Q9JHG7:forward,0.169266
O00459|Q9JHG7:reverse,0.071512
O00482|P35222:forward,0.975045
O00482|P35222:reverse,0.018129
O00483|P13073:forward,0.999892
O00483|P13073:reverse,0.999923
O00567|P22087:forward,0.999933
O00567|P22087:reverse,0.999906
O00743|P48643:forward,0.997304
O00743|P48643:reverse,0.999645
O02002|Q24306:forward,0.999200
O02002|Q24306:reverse,0.999077
O02002|Q24307:forward,0.999606
O02002|Q24307:reverse,0.998882
O02696|P48736:forward,0.000061
O02696|P48736:reverse,0.000205
O08538|Q02763:forward,0.000095
O08538|Q02763:reverse,0.000075
O08538|Q02858:forward,0.000083
O08538|Q02858:reverse,0.000067
O08689|Q13705:forward,0.998151
O08689|Q13705:reverse,0.998597
O08734|P10417:forward,0.999929
O08734|P10417:reverse,0.999921
O08808|P08134:forward,0.273793
O08808|P08134:reverse,0.960577
O08808|P61586:forward,0.971928
O08808|P61586:reverse,0.999415
O14021|O94355:forward,0.928162
O14021|O94355:reverse,0.891634
O14352|O42978:forward,0.999889
O14352|O42978:reverse,0.999796
O14352|Q9UUI1:forward,0.999914
O14352|Q9UUI1:reverse,0.999893
O14352|Q9Y7M4:forward,0.999917
O14352|Q9Y7M4:reverse,0.999932
O14543|O60674:forward,0.999491
O14543|O60674:reverse,0.999623
O14543|P40189:forward,0.999786
O14543|P40189:reverse,0.999447
O14543|Q99665:forward,0.999639
O14543|Q99665:reverse,0.999409
O14558|P27348:forward,0.999772
O14558|P27348:reverse,0.997220
O14558|P61981:forward,0.999694
O14558|P61981:reverse,0.931853
O14625|P63096:forward,0.998566
O14625|P63096:reverse,0.999419
O14640|P53350:forward,0.985341
O14640|P53350:reverse,0.990868
O14640|Q13555:forward,0.053841
O14640|Q13555:reverse,0.423801
O14733|P04049:forward,0.999522
O14733|P04049:reverse,0.999354
O14733|P45983:forward,0.993886
O14733|P45983:reverse,0.997870
O14733|Q16539:forward,0.999675
O14733|Q16539:reverse,0.999778
O14733|Q86Y07:forward,0.999695
O14733|Q86Y07:reverse,0.999202
O14745|P15311:forward,0.969385
O14745|P15311:reverse,0.934794
O14745|P26038:forward,0.537659
O14745|P26038:reverse,0.086144
O14746|P04908:forward,0.997304
O14746|P04908:reverse,0.999397
O14746|Q9BTM1:forward,0.998135
O14746|Q9BTM1:reverse,0.999165
O14763|P50591:forward,0.999872
O14763|P50591:reverse,0.999911
O14793|Q13705:forward,0.999345
O14793|Q13705:reverse,0.987663
O14807|P46940:forward,0.997883
O14807|P46940:reverse,0.990775
O14807|Q9UQ13:forward,0.786484
O14807|Q9UQ13:reverse,0.010817
O14810|P60880:forward,0.999790
O14810|P60880:reverse,0.999648
O14920|Q9GZQ8:forward,0.998935
O14920|Q9GZQ8:reverse,0.411669
O14920|Q9Y6K9:forward,0.999050
O14920|Q9Y6K9:reverse,0.993353
O14931|Q68D85:forward,0.999823
O14931|Q68D85:reverse,0.999706
O14931|Q9NZQ7:forward,0.999776
O14931|Q9NZQ7:reverse,0.999699
O14965|Q6PGQ7:forward,0.999767
O14965|Q6PGQ7:reverse,0.999749
O14965|Q9ULW0:forward,0.966680
O14965|Q9ULW0:reverse,0.928869
O14965|Q9VVR2:forward,0.999133
O14965|Q9VVR2:reverse,0.999544
O14966|Q5S007:forward,0.001864
O14966|Q5S007:reverse,0.003800
O14974|O18734:forward,0.000116
O14974|O18734:reverse,0.000078
O14974|P36873:forward,0.995852
O14974|P36873:reverse,0.994766
O14974|P62140:forward,0.994958
O14974|P62140:reverse,0.944527
O14974|Q96A00:forward,0.000093
O14974|Q96A00:reverse,0.000079
O15066|Q9H0H5:forward,0.941134
O15066|Q9H0H5:reverse,0.918154
O15085|Q8BPM0:forward,0.001451
O15085|Q8BPM0:reverse,0.000493
O15105|Q9HAU4:forward,0.999338
O15105|Q9HAU4:reverse,0.996906
O15111|Q9Y6K9:forward,0.999301
O15111|Q9Y6K9:reverse,0.999041
O15117|P06241:forward,0.999772
O15117|P06241:reverse,0.999558
O15117|P12931:forward,0.999609
O15117|P12931:reverse,0.999072
O15123|P35590:forward,0.000100
O15123|P35590:reverse,0.000270
O15151|P62913:forward,0.982878
O15151|P62913:reverse,0.002458
O15151|Q00987:forward,0.999858
O15151|Q00987:reverse,0.999701
O15169|P25054:forward,0.000573
O15169|P25054:reverse,0.002033
O15169|P35222:forward,0.875764
O15169|P35222:reverse,0.999135
O15169|P49840:forward,0.998434
O15169|P49840:reverse,0.999354
O15169|P49841:forward,0.999308
O15169|P49841:reverse,0.999678
O15169|P70039:forward,0.000638
O15169|P70039:reverse,0.002767
O15169|Q02248:forward,0.875764
O15169|Q02248:reverse,0.999135
O15198|Q01082:forward,0.000357
O15198|Q01082:reverse,0.000333
O15198|Q14669:forward,0.000140
O15198|Q14669:reverse,0.000111
O15212|P50991:forward,0.999905
O15212|P50991:reverse,0.999879
O15212|P78371:forward,0.999892
O15212|P78371:reverse,0.999896
O15294|P45983:forward,0.431882
O15294|P45983:reverse,0.946005
O15294|Q13557:forward,0.006548
O15294|Q13557:reverse,0.001906
O15350|Q00987:forward,0.999807
O15350|Q00987:reverse,0.999906
O15350|Q8WUF5:forward,0.165306
O15350|Q8WUF5:reverse,0.109867
O15350|Q96J02:forward,0.997979
O15350|Q96J02:reverse,0.998827
O15379|P31749:forward,0.999522
O15379|P31749:reverse,0.999664
O15511|P61158:forward,0.998976
O15511|P61158:reverse,0.999121
O15514|P62875:forward,0.999945
O15514|P62875:reverse,0.999929
O15524|O60674:forward,0.999768
O15524|O60674:reverse,0.999877
O15524|Q13617:forward,0.999479
O15524|Q13617:reverse,0.999647
O15524|Q93034:forward,0.999870
O15524|Q93034:reverse,0.999867
O15527|P62807:forward,0.000639
O15527|P62807:reverse,0.000126
O15527|Q71DI3:forward,0.021026
O15527|Q71DI3:reverse,0.006732
O15530|Q13485:forward,0.613552
O15530|Q13485:reverse,0.972028
O18924|P19793:forward,0.999800
O18924|P19793:reverse,0.999757
O22476|Q94F62:forward,0.968188
O22476|Q94F62:reverse,0.926404
O22476|Q9XIC7:forward,0.990416
O22476|Q9XIC7:reverse,0.491249
O23629|Q9XFH4:forward,0.980527
O23629|Q9XFH4:reverse,0.373103
O31743|P42921:forward,0.999925
O31743|P42921:reverse,0.999435
O31743|Q06797:forward,0.999839
O31743|Q06797:reverse,0.999630
O35082|P11362:forward,0.007492
O35082|P11362:reverse,0.009774
O35179|Q62634:forward,0.000118
O35179|Q62634:reverse,0.000120
O35179|Q7TSF2:forward,0.000088
O35179|Q7TSF2:reverse,0.000157
O35179|Q9JI12:forward,0.000094
O35179|Q9JI12:reverse,0.000202
O35618|Q00987:forward,0.999846
O35618|Q00987:reverse,0.999665
O35625|P49841:forward,0.999359
O35625|P49841:reverse,0.999608
O35625|Q9WV60:forward,0.999395
O35625|Q9WV60:reverse,0.999618
O42978|O74483:forward,0.999329
O42978|O74483:reverse,0.999869
O42978|O74499:forward,0.999667
O42978|O74499:reverse,0.999185
O43353|Q9HC29:forward,0.996314
O43353|Q9HC29:reverse,0.999031
O43353|Q9Y239:forward,0.987486
O43353|Q9Y239:reverse,0.999729
O43516|Q14247:forward,0.741248
O43516|Q14247:reverse,0.995742
O43516|Q60598:forward,0.997917
O43516|Q60598:reverse,0.998362
O43521|P10415:forward,0.999896
O43521|P10415:reverse,0.999900
O43521|P97287:forward,0.999790
